TranslatedRecipeName,ingredients_parsed
Spicy Chilli Garlic Noodles Recipe,cloves garlic soy sauce vinegar bell pepper tomato ketchup onion chillies pepper powder hakka noodles chilli sauce sunflower
Chanar Dal Recipe - Bengali Steel Paneer & Potato Gravy,tomato ginger bay paneer potato chilli powder chilli cumin panch phoran masala turmeric powder sunflower
Cheesy Garlic Broccoli Nuggets Recipe,corn flour nutralite cheesy garlic mayo mozzarella cheese nutralite garlic oregano pan roasting broccoli florets bread crumbs
Bengali radish potato vegetable recipe,kasundi mustard sauce kalonji chilli mustard mustard potato chilli powder onion cumin turmeric powder mooli mullangi
Beetroot Sambar Recipe,coriander tamarind asafoetida mustard curry chilli chakundar sesame arhar dal sambar powder
Kaddu Palak Roti Recipe (Pumpkin Spinach Flat Bread),flour spinach chilli powder sunflower rotis cumin parangikai pumpkin coriander powder turmeric powder
Iranian Baida Curry Recipe,ginger eggs coconut jaggery cloves garlic chilli coriander coriander onion poppy badam sesame sunflower
Vegan Chickpea Omelette Recipe (Spiced Chickpea Flour Pancakes),tomato ginger asafoetida coriander ajwain cloves garlic gram flour onion coconut milk turmeric powder chillies sunflower
Peanut Pudding Recipe - Salt Pudding / Firm Mod Modak,ginger sunflower asafoetida mustard sesame curry rice flour chillies urad dal
Singapore Style Chicken Layered Fried Rice Recipe,spring onion greens cumin powder carrot onion pepper powder chillies sunflower eggs noodles tossed soy sauce pepper powder rice chinese powder chilli powder garlic lemon classic mayonnaise spicy chilli sauce chicken ginger spring onion tomato ketchup vinegar bell pepper chilli sauce
Tofu Pulao Recipe,turmeric powder tomato take rice ghee capsicum yellow chilli powder lentil ginger garlic paste coriander bay onion coriander powder tofu chillies cumin garam masala powder
Masala Sandwich Recipe With Rocket Leaves,tomato pav bhaji masala ginger french bread rye bread coriander paneer rocket salad sandwich cloves garlic onion bell pepper potato
Tomato Relish Recipe,tomato wine vinaigrette cloves garlic olive onion pepper powder dijon mustard cane oregano
Dubuk Vade Recipe - Khandeshi Gram Flour Dumpling Curry,coriander coconut chilli powder cloves garlic gram flour onion cumin turmeric powder garam masala powder
Radish Soup Recipe,coriander mooli mullangi purple pepper powder mooli mullangi garam masala powder
Mango Donut Cake Recipe With Chocolate Glaze,powder mango pulp vivatta maida vanilla dark chocolate cocoa powder sunflower
Matar Paneer Kachori Korma Recipe - Green Peas And Paneer Kachori Curry,tomato coriander ajwain onion cumin turmeric powder sunflower cardamom podsseeds mace cashews flour garam masala powder chilli powder curd pepper kasuri methi amchur paneer peas ginger garlic paste cinnamon stick coriander powder cloves
Zucchini Roll Up Lasagne Recipe,tomato bell pepper rosemary pepper corns mozzarella cheese olive cloves garlic chilli flakes basil onion thyme zucchini
Thengai Sadam Recipe (A Quick and Healthy Coconut Rice),chillies ginger rice mustard coconut curry urad dal coconut chana dal peanuts fistful
Karwar Style Ambade Udid Methi Recipe - Hog Plum Curry,coconut asafoetida karela hog plum rice jaggery peppercorns urad dal chilli mustard coriander methi turmeric powder sunflower
Roasted Cauliflower Recipe,herbs herbs choice like basil pepper powder chilli powder anardana powder cauliflower olive garlic cumin pomegranate molasses coriander powder
Pain Viennois | Vienna Bread Recipe,yeast vivatta maida bread flour eggs brushing (or milk milk powder butter
Crunchy Ginger Capsicum Rice Recipe,yellow bell pepper basmati rice bell pepper ginger sesame mixed bell pepper chillies butter
Bengali Chirer Payesh / Poha Pudding Recipe With Nolen Gur,nolen gur cardamom podsseeds poha milk saffron strands raisins mixed nuts almondscashews rice flour
Shanghai Style Chap Nian Gao Recipes (Stir Fried Rice Cakes Recipes),corn flour bok choy carrot dark soy sauce bean paste mushrooms rice flour chilli sauce cabbage sunflower
White Pumpkin Mor Kuzhambu Recipe - Kerala Style White Pumpkin Curry,coconut mustard vellai poosanikai chilli curd curry coconut methi pepper powder turmeric powder chillies
Paneer and Green Peas Paratha Recipe - Paneer and Green Peas Paratha Recipe,turmeric powder flour mango powder powder ginger chilli chilli powder coriander powder cheese crumble peas
Elephant Yam Raita (Recipe In Hindi),rye ginger chilli kali urad dal coriander elephant yam curd asafetida
Drunken Noodles Recipe - Drunken Noodles Recipe,fish sauce ginger capsicum capsicum capsicum thai basil cloves garlic corn soy sauce sriracha sauce onion rice noodles
Chettinad Style Prawn Biryani Recipe,basmati rice peppercorns curry cumin turmeric powder chilli paste sunflower cardamom ginger paste cardamom podsseeds garam masala powder coconut chilli powder chilli garlic paste hung curd bay ghee shrimps prawns cinnamon stick coriander powder
Walnut and Flax Seed Trail Mix Recipe With Figs and Honey,figs flax peanuts walnuts cinnamon powder
Murgh Malaiwala Recipe - Chicken In Rich Creamy Gravy,bay ghee milk gram chicken onion lemon badam paste cardamom powder pepper powder cinnamon stick ginger paste kasuri methi garlic paste
Paal Kesari Recipe - South Indian Style Milk Kesari,cashew nuts ghee roasting rava mixed fruits cardamom podsseeds ghee milk raisins saffron strands sooji
Spicy Lemon Chicken Kebab Recipe,bell pepper chilli flakes olive onion lemon thyme pepper powder chicken breasts
Paneer Butter Masala Biryani Recipe - Layered Paneer Butter Masala Biryani Recipe,tomato cloves garlic kasoori methi onion cardamom chilli cottage cheese cube cinnamon cashews garam masala powder star anise cardamom powder rice chilli powder mint coriander ginger ghee cumin powder bay pepper
Gond Ke Ladoo Recipe - Edible Gum Ladoo,cashew nuts flour ghee coconut badam goond
Kobari Charu recipe - Kobbari Charu Recipe,coriander chana lentils spoon turmeric powder mustard curry coconut milk chillies cumin
Basil Tincture Recipe (Or) - Herbal Drink From Basil,ginger powder tulsi pepper powder palm
Carrot Corn Mayo Pancake Recipe With Sandwich Spread,powder flour coriander pepper powder carrot curd onion del monte sandwich corn eggs chillies butter
Tamil Nadu Style Spicy Egg Fry Recipe,ginger gram dal cloves garlic peppercorns chillies eggs sunflower
Chirer Dudh Puli Recipe - Bengali Style Baten Rice Dumpling Milk,palm jaggery date palm jaggery coconut poha milk sooji flour
Waffle Broth Recipe - Puppet's Yamarinta Crovy,urad dal papad tamarind asafoetida mustard jaggery pearl onion curry chillies gingelly methi turmeric powder sambar powder
Kashmiri Style Modur Pulao With Pomegranate Recipe,cashew nuts cumin powder cardamom podsseeds ghee anardana powder milk saffron strands raisins cinnamon stick badam basmati rice hour cloves sunflower
North Indian Style Mushroom Matar Masala Recipe,tomato paste chilli coriander powder mustard asafoetida peas chilli powder onion paste ginger garlic paste coriander onion cumin mushrooms turmeric powder garam masala powder sunflower
Dhania Chole Masala Recipe - Chickpeas In Fresh Coriander Gravy,ginger coriander ghee bay cloves garlic kabuli chana onion lemon cinnamon stick cardamom coriander powder chillies garam masala powder
Capsicum Masala Poriyal (Recipe in Hindi),peanuts coconut capsicum capsicum capsicum mustard curry cloves garlic un chillies onion coriander cumin
Kerala Style Raw Banana and Suran Kotu Curry Recipe - Kerala Style Plantain & Yam Thoran Recipe,turmeric powder chilli coconut chilli powder cloves garlic banana mustard gram suran cumin pepper
Cheese Stuffed Aloo Bonda Recipe,coriander ginger mustard asafoetida mozzarella cheese gram flour onion potato turmeric powder chillies sunflower
Dahi Wale Paneer Recipe - Paneer In A Curd Gravy,tomato bell pepper chillies cumin powder cashews almonds paneer coriander cloves garlic onion lemon ginger chooped gram curd coriander powder turmeric powder butter garam masala powder
Nutty Aloo Paratha Recipe,flour cumin powder coriander paneer ghee raisins make pliable chilli powder chillies potato spinach garam masala powder mixed nuts
Chicken Tikka Taco Recipe Topped With Cheesy Garlic Mayo,beans nutralite cheesy garlic mayo summer salad tomato salsa taco shells hariyali chicken tikka
Masalewali Turai Sabzi Recipe - Masalawali Turai Sabzi Recipe,tomato turmeric powder ginger coriander jaggery chilli powder mustard spoon coriander powder cumin trumpet
Pudina Mushroom And Soya Biryani Recipe,ajwain cloves garlic onion soy turmeric powder chillies cardamom podsseeds mint star anise garam masala powder chilli powder curd mushrooms ginger ghee bay biryani masala basmati rice spices infused cloves
White Vegetable Kurma Recipe With Coconut & Cashew,cashew nuts coconut fennel cardamom podsseeds cauliflower peppercorns carrot ginger garlic paste onion poppy cinnamon stick cumin cloves potato chillies star anise sunflower
Muttaikose Poriyal Recipe - Cabbage Stir fry With Coconut,chilli mustard coconut curry urad dal cabbage
Bengaluru Style Brinjal Gravy Recipe - For Biryani,tomato mustard brinjal coriander jaggery chilli powder peppercorns ginger garlic paste onion tamarind turmeric powder sunflower
PF Chang's Style Crispy Chicken Lettuce Wraps Recipe,spicy chilli sauce soy sauce iceberg lettuce spring onion chilli vinegar garlic pepper powder mushrooms chilli sauce chicken breasts cm cubes sunflower
Lemon Frozen Yogurt Recipe,orange orange two curd vanilla drops lemon turmeric powder
Paneer Capsicum Sandwich Recipe,bread chilli paneer chaat masala powder pepper powder bell pepper butter
Dry Suran Masala Vegetable Recipe,elephant yam ginger cumin powder chilli powder curry onion garlic cumin pepper powder coriander powder turmeric powder chillies garam masala powder sunflower
One Pot Pressure Cooker Chicken Curry Recipe - One Pot Pressure Cooker Chicken Curry Recipe,tomato turmeric powder ginger chilli powder curry garlic onion coriander powder coconut chicken breast garam masala powder
Lauki Ka Salan Recipe - Bottle Gourd Salan Recipe,tomato ginger tamarind mustard coconut chilli powder cloves garlic coriander onion gourd cumin methi peanuts sesame coriander powder turmeric powder chillies sunflower
Togari Bell Thove Recipe - Tour Dal Juice,ginger arhar dal ghee mustard asafoetida coriander curry lemon tamarind turmeric powder chillies
Chicken Shawarma Recipe,cumin powder flour hummus milk chilli powder olive yeast ginger garlic paste carrot tomato pulp chilli vinegar tzatziki onion pepper powder cucumber coriander powder chicken breasts turmeric powder
Mushroom Paratha Recipe,flour onion cumin ghee parathas ghee mushrooms turmeric powder chillies garam masala powder sunflower
Palak Chana Dal Recipe - Healthy Spinach Gram Dal Recipe,tomato chillies cumin powder chana dal ghee asafoetida chilli powder ginger garlic paste chillies onion cumin turmeric powder spinach
Pasi Paruppu Kosumalli Recipe (Spiced Lentil Salad Recipe),yellow moong dal coconut mustard asafoetida coriander carrot curry lemon cucumber chillies sunflower
Maharashtrian Style Semolina and Yogurt Cake Recipe,cashew nuts powder ghee saffron strands raisins curd cardamom powder caster sooji
Ragi Masala Roti Recipe,dill coriander ghee carrot ragi flour onion cumin chillies
Dry Sweet Potato Thoran Recipe,asafoetida mustard curry urad dal onion rasam powder turmeric powder potatoes sunflower
Oreo Milkshake Recipe,chocolate sauce cream oreo biscuits milk scoops vanilla
Mexican Grilled Corn Flavoured With Cheesy Garlic Mayo Recipe,paprika powder coriander lemon wedged corn parmesan cheese butter del monte cheesy garlic mayo
Paneer Matar Butter Masala (Indian Cottage Cheese and Peas Masala With Butter) Recipe,tomato cashew nuts ginger ghee paneer cardamom podsseeds milk peas chilli powder onion cloves garlic peppercorns chillies cinnamon stick coriander kasuri methi sunflower
Dhugare Baingan Recipe - Dhungare Baingan Recipe,kashmiri chilli powder chilli yogurt ghee cumin powder eggsplant coriander onion garam masala powder
Rajasthani Style Dried Gatta Capsicum Vegetable Recipe,amchur asafoetida ajwain chilli powder gram flour curd coriander cumin bell pepper coriander powder turmeric powder garam masala powder sunflower
Indo Chinese Crispy Chicken Chilli Recipe,ginger corn flour soy sauce chilli sauce garlic chicken onion vinegar pepper powder bell pepper tomato pasta sauce flour chilli sauce chillies sunflower
And fish soup recipe - Bengali fish curry,tomato coriander aar maach bay mustard chilli powder ginger garlic paste cumin coriander powder turmeric powder chillies
Stem Lettuce Tamarind Broth Recipe - Surri left behind by Amarnath Greens,tomato tamarind pulp mustard asafoetida methi powder sesame cloves garlic curry onion amaranth sambar powder
Crispy Masala Peanuts Recipe - Gujarati Sing Bhujia,chaat masala powder chilli powder gram flour peanuts pepper powder coriander powder rice flour sunflower
Maa Ki Dal (Recipe),tomato ginger kashmiri chilli powder ghee kidney beans urad dal coriander powder cumin garam masala powder
Palak Mushroom Makhani Recipe - Creamy Spinach & Mushroom,tomato chillies cumin powder ginger mushrooms ghee cloves garlic cinnamon stick cumin turmeric powder spinach garam masala powder
Dahi Bhalla Papdi Chaat Recipe,cumin powder curd vada anardana powder chaat masala powder boondi sev chutney carrot coriander onion peanuts papdi puris chutney
Wheat Grass Shikanji - Wheat Grass Lemonade Recipe,cumin powder lemon pepper powder grass powder
Chole Masala Recipe - Dry Masala Chickpeas (Recipe),turmeric powder gingerpaste chilli powder kabuli channa soak boil spoon cumin powder amchoor powder coriander powder chana masala powder cumin
Rajasthani Kachri Chutney Recipe - Rajasthani Kachri Ki Chutney Recipe,ghee cloves garlic curd kachris chillies cumin
Fasting Potato Paneer Recipe - Potato Paneer Curry Without Onion And Garlic Recipe,tomato per gms cheese ginger chilli powder coriander powder potatoes coriander chillies cumin powder baked
 Katachi Amti (Recipe In Hindi),cumin peppers lentil chana lentil coriander curry break jaggery mustard bay goda masala tamarind paste reduce like
Khara Obbattu Recipe (Bread Stuffed With Spicy Potato Mixture Recipe),flour ginger chilli powder cloves garlic curry curd coriander onion cumin potato sooji flour turmeric powder chillies sunflower
Cauliflower Matar Bhurji (Recipe in Hindi),tomato turmeric powder coriander chilli powder ginger garlic paste onion chillies peas garam masala powder cabbage
Kashmiri Style Paneer Masala Recipe,tomato kashmiri chilli powder bay cardamom podsseeds paneer asafoetida ajwain fennel saffron strands curd ginger powder coriander cinnamon stick garam masala powder
Aromatic Vegetable Pulao Recipe,tomato coriander star anise rice cardamom podsseeds potato chilli powder peas carrot ginger garlic paste mint onion cinnamon stick bell pepper cloves garam masala powder sunflower
Spicy Curd Recipe - Spicy Curd With Onions,coriander chilli chilli powder carrot curd onion cucumber cumin
Mustard Vegetable Curry Recipe,turmeric powder peas chilli powder cloves garlic carrot beans onion potatoes coconut milk dijon mustard cumin
One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,beans ginger cardamom podsseeds bay ghee cloves garlic carrot cinnamon stick rice cloves coconut milk turmeric powder chillies cauliflower florets
Bengali Aloo Dum Recipe - Bengali Aloo Dum Recipe,turmeric powder tomato coriander ginger yogurt cinnamon chilli powder cloves garlic bay onion potatoes boil remove skin cardamom coriander powder chillies garam masala powder
Hyderabad Soy Biryani Recipe With Vegetables & Palak,tomato basmati rice coriander ajwain carrot onion cumin soy turmeric powder chillies sunflower cardamom spinach bunch cardamom podsseeds mace mint garam masala powder beans cauliflower chilli powder bay ghee milk saffron strands peas ginger garlic paste cinnamon stick badam bell pepper coriander powder potato cloves
North Indian Feni Recipe - Sevaiyan Kheer,cashew nuts pheni roll ghee milk raisins almond meal
South Indian Papad Curry Recipe - Appalam Vathal Kuzhambu (Recipe),turmeric powder horsepowder gram lentils asafoetida papad urad dal mustard chilli curry sesame sambar powder tamarind lemon
Moong Dal Khichdi Recipe For Babies And Toddlers Over 10 Months,beans yellow moong dal rice ghee asafoetida carrot cumin
Dahi Wale Aloo Recipe (Indian Yogurt-based Potato Curry),ginger asafoetida coriander chilli powder gram flour curd curry onion cumin garlic coriander powder potato turmeric powder chillies sunflower
Vegetable Fried Brown Rice Recipe,beans rice ginger chilli spring onion greens soy sauce carrot olive tomato pasta sauce store bought garlic onion vinegar bell pepper chilli sauce cabbage
Eggless Devil's Food Cake Recipe,powder chocolate ganache flax seed powder curd vanilla eggs flaxmeal eggs replacer caster cocoa powder color flour butter
Bengali Langcha Recipe With Mawa,pistachios milk ghee caster cardamom powder sooji flour milk powder
Kovakkai Podi Curry Recipe - Tamil Nadu Style Ivy Gourd Stir Fry,asafoetida mustard tindora verticy chilli curry urad dal coriander chillies chana dal sunflower
Biryani Masala Powder Recipe - Biryani Masala Powder Recipe,mace star anis cinnamon st flowers celery cardamom cardamom bay pepper coriander cumin spoon nutmeg powder
"Chicken Sausages, Baked Beans and Stir Fried Broccoli Recipe",chicken sausage tomato cumin powder chilli powder cayenne pepper cloves garlic olive cloves garlic onion broccoli thyme pepper powder pepper beans butter oregano
Crispy Chicken Dumplings Recipe,chicken corn flour eggs chilli powder ginger garlic paste curry gram flour pepper powder coriander powder turmeric powder chillies sunflower
Turkish Chicken Gozleme Recipe-Stuffed Spinach Chicken Bread,tomato flour hung curd cumin powder paprika powder mint spring onion cloves garlic onion chicken feta cheese pepper powder coriander powder flour spinach
Moon Biscuits Recipe (Moon Shaped Baked Cookies),powder vivatta maida vanilla milk powder butter
Andaman Style Steamed Garlic Prawns Recipe,coriander sesame cloves garlic soy sauce peppercorns lemon drops chillies prawns sunflower
Fruit Pachadi Recipe,turmeric powder yogurt coconut take jaggery fruit (pineapple mustard curry chillies peppers break
Aloo Matar Masala Khichdi Recipe,cardamom cumin powder rice bay cardamom podsseeds ghee coriander peas chilli powder ginger garlic paste onion cinnamon stick cumin pepper powder cloves coriander powder chillies potato cubes
Rock Toast Recipe - Semolina Bread Toast,chilli coriander onion powder sunflower toast curd pepper powder bell pepper sooji
Potato Vindaloo Recipe (Spicy Goan Potato Curry),garlic cloves grind mustard kashmiri chillies hour enough potatoes curry methi cumin vinegar potato turmeric powder sunflower
Lu Potol Post Recipe (Lu Parwal In Poppy Seed Masala Recipe),chillies ginger mustard coconut fennel potato skin chilli powder chilli cinnamon stick cumin methi poppy turmeric powder cloves pointed gourd
Aloo Bhey Ki Sabzi Recipe (Potato Lotus Stem Curry),tomato ginger coriander powder asafoetida chilli powder coriander onion cumin garlic lotus stem potato turmeric powder chillies garam masala powder sunflower
Classic Grilled Tomato Cucumber Chutney Sandwich Recipe,tomato bread chaat masala powder tomato ketchup pepper powder cucumber chutney butter
Homemade Granola Mix Recipe with Oats & Wheat Flakes,pine nuts sunflower nutmeg powder raspberries flakes pumpkin badam raisins vanilla walnuts oats cinnamon powder
Baingan Sarson Ka Saag Recipe,ginger amchur mustard brinjal chilli powder cloves garlic onion mustard greens cumin coriander powder garam masala powder
Kalyana Veetu Senai Curry Recipe - South Indian Spicy Roasted Yam,elephant yam mustard asafoetida coconut chilli powder curry coriander powder turmeric powder sambar powder sunflower
Chettinad Thakkali Sadam Recipe (Chettinad Style Tomato Rice),tomato coriander ginger chilli rice mint fistful ghee fennel chilli powder cloves garlic curry onion cinnamon stick cloves
Thai Yellow Coconut Curry Rice Recipe,jasmine rice jaggery peppercorns cloves garlic coriander onion cumin gawar phali coconut turmeric powder bell pepper cardamom podsseeds thai basil mace chilli powder lemon stalks lemongrass coconut milk ginger fennel ginger powder cinnamon stick
 Stuffed Bhindi With Paneer (Recipe In Hindi),tomato okra turmeric powder ginger asafoetida chilli powder onion coriander powder cottage cheese ed mango powder garlic cumin
Bael Ka Sharbat Recipe - Wood Apple Squash Drink,cumin powder cubes jaggery wood apple lemon mint
Raw Mango Murabba Recipe - Cinnamon Spiced Mango Jam,mango saffron strands cinnamon powder
Karnataka Style Gorai Kai Kara Recipe - Cluster Beans Chutney,peanuts ginger mustard asafoetida cloves garlic urad dal coriander gawar phali cumin tamarind chillies
Kunafa With Mango Cottage Cheese Cream Recipe,cream mango pulp pistachios paneer thandai masala saffron strands rose rose lemon icing butter kataifi ready
Royal Bread Gulab Jamun Recipe,bread khoya ghee milk badam
Safed Achari Baingan Recipe - White Aubergine in pickled spices,tomato ginger kalonji amchur mustard brinjal coriander fennel ajwain chilli powder cloves garlic chillies onion cumin methi coriander powder turmeric powder sunflower
Potlankaya Perugu Pachhadi Recipe (Curd & Sunke Gourad Chutney),snake gourd coconut mustard asafoetida chilli curd cumin turmeric powder sunflower
Karela Dahi Puri Recipe - A Chatpata Chaat Made From Bitter Gourd,aloo bhujia coriander hung curd sev asafoetida karela chaat masala powder chilli powder chutney gram flour coriander powder sunflower
Kasuri Methi and Potato Frying Recipe,tomato chillies cumin powder amchur ghee fennel chilli powder ginger cumin methi coriander powder potato turmeric powder kasuri methi garam masala powder
Sprouted Matki Chila Recipe with Spinach - Moth Bean Chila,ginger fennel urad dal moth sprouts spinach turmeric powder chillies sunflower
Malabar Kaai Curry Recipe With Nenthra Pazham,rice cardamom podsseeds banana flower ripe chana dal onion coconut milk chana dal
Assamese Sweet Kordoi Recipe,flour ghee caster sunflower
Steamed Bafauri Recipe (Bhojpuri Style Steamed Chana Dal Balls),coriander chana dal ajwain cloves garlic onion chillies
